,q,r,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,-1.0,init,0.3176632946750242,1.0,0.3176632946750242,False
0,0.8333333333333334,-0.9,init,0.3840498126472231,1.0,0.3176632946750242,False
0,1.0,-0.6666666666666666,init,0.4249372166050127,1.0,0.3840498126472231,False
0,0.8160455012848994,-0.9102199417891339,S1,0.3577729716328383,1.0,0.4249372166050127,False
0,0.6881825133058679,-1.0,S1,0.33525609506826753,1.0,0.4249372166050127,False
0,0.8451961541883767,-0.9147955341315719,S1,0.3685776954655638,1.0,0.4249372166050127,False
0,0.827034073105056,-0.8802128761517587,S1,0.36994843824939,1.0,0.4249372166050127,False
0,0.6669863834932088,-0.9796810768295456,S1,0.3032340004514058,0.9930018942325848,0.4249372166050127,False
0,0.8000278773507872,-0.8818186703020809,S1,0.36717332787666784,1.0,0.4249372166050127,False
0,0.7018195094700543,-0.975989858129101,S1,0.32706523179116104,1.0,0.4249372166050127,False
0,0.7244206203009536,-0.9858187921439111,S1,0.36562079596349134,1.0,0.4249372166050127,False
0,0.7936538677747551,-0.9282606314512936,S1,0.3925001679955297,1.0,0.4249372166050127,False
0,0.74226649038588,-1.0,S1,0.3399971373761412,1.0,0.4249372166050127,False
0,0.7736318436078083,-0.904688595833132,S1,0.34462517793066855,1.0,0.4249372166050127,False
0,0.7482928176479715,-0.9478305282253595,S1,0.3508011922565858,1.0,0.4249372166050127,False
0,0.843637736699004,-0.8650093110705447,S1,0.4173077450158614,1.0,0.4249372166050127,False
0,0.798629932227652,-0.9551506289290665,S1,0.37203753436219184,1.0,0.4249372166050127,False
0,0.7732936400188085,-1.0,S1,0.3511047983939201,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.9636198394301378,S1,0.35908481823274024,1.0,0.4249372166050127,False
0,0.8080524097042098,-1.0,S1,0.36128038223679254,1.0,0.4249372166050127,False
0,0.834732458954206,-1.0,S1,0.3619995924330071,1.0,0.4249372166050127,False
0,0.8677024781347907,-0.8851654378177142,S1,0.3688629138745835,1.0,0.4249372166050127,False
0,0.8370784140388028,-0.8437034433995858,S1,0.3710816603393987,1.0,0.4249372166050127,False
0,0.8252854530183673,-0.8246691101946808,S1,0.35878868847141,1.0,0.4249372166050127,False
0,0.7297855229420993,-0.9259183681268301,S1,0.3365353905661834,0.9984407826094983,0.4249372166050127,False
0,0.8383889451401714,-0.8079667714233556,S1,0.35778322192178685,1.0,0.4249372166050127,False
0,0.9804098422002421,-0.6635524977269083,S1,0.37411989841597465,1.0,0.4249372166050127,False
0,0.6864251804989268,-0.9431069069502576,S1,0.297227561594227,0.9877986622885965,0.4249372166050127,False
0,0.8642778804114797,-0.937477008182882,S1,0.3995257946664169,1.0,0.4249372166050127,False
0,0.8601841372323524,-0.7993997276167311,S1,0.427009464990866,1.0,0.4249372166050127,False
0,0.9648170757598202,-0.6784934796981409,S1,0.38048955609153917,1.0,0.427009464990866,False
0,0.7337864945646997,-0.8957230293395331,S1,0.3156881334269271,0.9926418185132818,0.427009464990866,False
0,0.7793469839461605,-0.8569223566320103,S1,0.35899959028731854,1.0,0.427009464990866,False
0,0.8884409212357243,-0.9255009843058617,S1,0.35910898167952143,1.0,0.427009464990866,False
0,0.8597447661415716,-1.0,S1,0.3638246594145062,1.0,0.427009464990866,False
0,0.8201573085056886,-0.7931445951582672,S1,0.3696492951063735,1.0,0.427009464990866,False
0,0.9866526419492759,-0.6938793702520577,S1,0.37362239094927735,1.0,0.427009464990866,False
0,0.7776425657190096,-0.8246691101946808,S1,0.35471827557080454,0.9972531406889189,0.427009464990866,False
0,0.9544311759006973,-0.7039122071170449,S1,0.37108545176931873,1.0,0.427009464990866,False
0,0.943941247561239,-0.7273152263003755,S1,0.37234559234479,1.0,0.427009464990866,False
0,0.8866638741013246,-0.8048854998441188,S1,0.35905944824270963,1.0,0.427009464990866,False
0,0.9219157644198326,-0.7499785335550362,S1,0.36334983485520805,1.0,0.427009464990866,False
0,0.8296564360139046,-0.769034546641336,S1,0.35323390290392304,0.9985982838786946,0.427009464990866,False
0,0.9038148004940109,-0.8246691101946808,S1,0.40525898878148525,1.0,0.427009464990866,False
0,0.8795200917862198,-0.7552785124047954,S1,0.3869768657702915,1.0,0.427009464990866,False
0,0.7533674082279581,-0.8246691101946808,S1,0.3909391674022528,1.0,0.427009464990866,False
0,0.9270748954762815,-0.8112980075970271,S1,0.3680511840591843,1.0,0.427009464990866,False
0,0.650643323407129,-0.9591414353993624,S1,0.30844906718931986,0.9919336704939578,0.427009464990866,False
0,0.9143355024345329,-0.7151792929554013,S1,0.3642802959646462,1.0,0.427009464990866,False
0,0.9502090926134964,-0.769873172260297,S1,0.38020344076339635,1.0,0.427009464990866,False
0,0.9464126158694326,-0.8246691101946808,S1,0.39313085380807405,1.0,0.427009464990866,False
0,0.9038847834369423,-0.8829832084732765,S1,0.36533302376125387,1.0,0.427009464990866,False
0,0.9707617228880663,-0.7997222875408392,S1,0.38174308633233595,1.0,0.427009464990866,False
0,0.700985594561361,-0.8999250785159318,S1,0.3272746617720522,1.0,0.427009464990866,False
0,0.8883083121489006,-0.9646330087538537,S1,0.36070442258325347,1.0,0.427009464990866,False
0,0.7190030287331007,-0.8585175034015501,S1,0.3666369036630863,1.0,0.427009464990866,False
0,0.9845330087846306,-0.7347274788413742,S1,0.39161261328949604,1.0,0.427009464990866,False
0,0.8681794602596626,-0.7276463219998772,S1,0.37389788575352606,1.0,0.427009464990866,False
0,1.0,-0.7594772301596455,S1,0.39460493251924866,1.0,0.427009464990866,False
0,0.9665928022872788,-0.8402282520583689,S1,0.3931202039196244,1.0,0.427009464990866,False
0,0.6402519036932801,-1.0,S1,0.3090944140449533,0.9890281951331996,0.427009464990866,False
0,0.9213486584863055,-0.9101069739286269,S1,0.38111903580301804,1.0,0.427009464990866,False
0,0.8325590002359202,-0.7334630693010775,S1,0.35127510621599084,1.0,0.427009464990866,False
0,0.3333333333333333,1.0,S3,2.357142857142857,1.0,0.427009464990866,True
0,0.3333333333333333,0.06816259874175845,S3,2.357142857142857,1.0,0.427009464990866,True
0,1.0,0.5361267276095807,S3,0.4068927105542479,0.992871379732557,0.427009464990866,True
0,1.0,-0.06093867364125427,S3,0.30518141004351734,0.7035112222646942,0.427009464990866,True
0,0.3333333333333333,-0.4671976059889582,S3,0.524345405167376,1.0,0.427009464990866,True
0,0.8283972463091163,1.0,S3,2.357142857142857,1.0,0.427009464990866,True
0,0.3333333333333333,0.5338318744246284,S3,2.357142857142857,1.0,0.427009464990866,True
0,0.6717536887650887,0.28557031029157154,S3,0.48143774847962667,0.9233250097932953,0.427009464990866,True
0,0.3333333333333333,-0.8156826849863488,S3,0.3382458772189805,0.26539798461609426,0.427009464990866,True
0,0.6065799392171057,-0.20134462000087172,S3,0.3826852646886627,1.0,0.427009464990866,True
0,0.5885062384659157,0.7533088980531915,S3,2.357142857142857,1.0,0.427009464990866,True
0,1.0,0.23830093572522593,S3,0.3310083648971994,0.4336770319966904,0.427009464990866,True
0,1.0,-0.3559373123695264,S3,0.3496301549917876,0.9894384533157989,0.427009464990866,False
0,1.0,-0.3752581104310875,S1,0.34317398030565704,0.9883877789898753,0.427009464990866,False
0,0.992528455976508,-0.3930543240770594,S1,0.3429837719830226,0.9922312370443578,0.427009464990866,False
0,0.9732093066469486,-0.39853957529468576,S1,0.3448577977178949,0.98339549630313,0.427009464990866,False
0,0.9764864598474996,-0.35203243389895494,S1,0.34413267757253946,0.9538596896380542,0.427009464990866,False
0,1.0,-0.4146670047683485,S1,0.3470094387055529,1.0,0.427009464990866,False
0,0.9605038944916641,-0.3404315633668108,S1,0.3688570316512009,0.9880757582250923,0.427009464990866,False
0,0.9860758708291988,-0.32539625765096863,S1,0.36891298281156365,0.9262897570427546,0.427009464990866,False
0,0.9494666432098886,-0.3913795100749714,S1,0.3426999327134365,0.9666355108435248,0.427009464990866,False
0,1.0,-0.43702921638825254,S1,0.3389592608329094,1.0,0.427009464990866,False
0,0.9776229312007407,-0.4442005021852598,S1,0.3438318422689189,1.0,0.427009464990866,False
0,1.0,-0.46290794708526095,S1,0.3503466347534587,1.0,0.427009464990866,False
0,0.9348998364037601,-0.3518868706071744,S1,0.36701401715572685,0.9311314374041998,0.427009464990866,False
0,1.0,-0.4861368820263712,S1,0.3458231282394086,1.0,0.427009464990866,False
0,1.0,-0.5115607578024564,S1,0.34377354190843634,1.0,0.427009464990866,False
0,0.9785393027708739,-0.5151689918812004,S1,0.3701333113110042,1.0,0.427009464990866,False
0,1.0,-0.5371306070353801,S1,0.3759838435081831,0.9249670813092408,0.427009464990866,False
0,1.0,-0.5604895437163961,S1,0.36897129483236213,1.0,0.427009464990866,False
0,1.0,-0.5928818509923004,S1,0.3700256171995942,1.0,0.427009464990866,False
0,0.975214864663988,-0.6138911160579839,S1,0.3872115520321509,1.0,0.427009464990866,False
0,1.0,-0.8061480169148083,S1,0.38874521981219523,1.0,0.427009464990866,False
0,0.9629243820947427,-0.5390283643732243,S1,0.3539184269967354,1.0,0.427009464990866,False
0,1.0,-0.8402853764991753,S1,0.3779474928673472,1.0,0.427009464990866,False
0,0.9490389862046984,-0.6375344132211105,S1,0.36810560568469713,1.0,0.427009464990866,False
0,0.9727919250987944,-0.8711981466886878,S1,0.3755941880468663,1.0,0.427009464990866,False
0,0.6775174274145626,-0.8892627656543883,S1,0.3193724544303658,1.0,0.427009464990866,False
0,0.9517045571462398,-0.576383854353389,S1,0.3677769251706522,0.751006909755104,0.427009464990866,False
0,0.9235847735064505,-0.6472989780416674,S1,0.35811132766609527,1.0,0.427009464990866,False
0,0.8246691101946808,-0.7122202631318559,S1,0.33380372117405455,0.9967351936876879,0.427009464990866,False
0,0.8452030468130185,-0.6909355403250705,S1,0.3444255980522079,0.9941074458319651,0.427009464990866,False
0,0.6475524835250079,-0.9227004367068636,S1,0.28550561480029973,0.7473868469400795,0.427009464990866,False
0,0.7568570791914397,-0.7977029806985227,S1,0.3270855561363246,1.0,0.427009464990866,False
0,0.9537845300552428,-0.458813792365711,S1,0.34058687734937276,0.9939254720360413,0.427009464990866,False
0,0.8894743459112944,-0.6597230214118281,S1,0.33698491370363504,1.0,0.427009464990866,False
0,0.8051164933790386,-0.7018803263934783,S1,0.33221559466850686,1.0,0.427009464990866,False
0,1.0,-0.8779679550150399,S1,0.3756242755491769,1.0,0.427009464990866,False
0,0.7819150729198179,-0.7019228960043771,S1,0.36654754788479066,1.0,0.427009464990866,False
0,0.7789577471222549,-0.7580495894272538,S1,0.34108546076726926,1.0,0.427009464990866,False
0,0.9431613292211358,-0.4978408904753833,S1,0.33789154780709496,1.0,0.427009464990866,False
0,0.9248369465521158,-0.9455541640387632,S1,0.3889101395647885,1.0,0.427009464990866,False
0,0.7581566492434255,-0.7256207869670177,S1,0.3349974162487917,1.0,0.427009464990866,False
0,0.6828913274195738,-0.8559252963892998,S1,0.32658195025120945,0.9964384117190028,0.427009464990866,False
0,0.725951575758744,-0.7988225267189148,S1,0.3255379814200154,0.9986417031617059,0.427009464990866,False
0,0.9856583886732323,-0.9044511263206667,S1,0.4029120170095625,1.0,0.427009464990866,False
0,0.83038302654945,-0.6685244717390104,S1,0.3498774614494818,1.0,0.427009464990866,False
0,0.773778565105187,-0.6803912527189194,S1,0.3333288137711046,0.9838947003010873,0.427009464990866,False
0,0.7329785688381472,-0.7497314283313294,S1,0.3246575475715484,1.0,0.427009464990866,False
0,1.0,-0.9198426361202423,S1,0.3786676414520097,0.9510128886123377,0.427009464990866,False
0,0.7711689805994508,-0.6581844075418366,S1,0.33059599172368387,0.9863058036619722,0.427009464990866,False
0,0.9736733185418995,-0.9420486652644197,S1,0.40076174298093376,1.0,0.427009464990866,False
0,0.8246691101946808,-0.641402428584374,S1,0.34455801951295034,1.0,0.427009464990866,False
0,0.7946210612585015,-0.627142644057596,S1,0.3278638054140692,0.9871742931074274,0.427009464990866,False
0,0.6884614278184924,-0.819427044383815,S1,0.3115235292579565,1.0,0.427009464990866,False
0,0.7689467670612353,-0.6230773773479388,S1,0.32806304731160446,0.9806774150899821,0.427009464990866,False
0,0.8916317802415403,-1.0,S1,0.37078083779472754,1.0,0.427009464990866,False
0,0.9677441222835677,-0.9671093270671793,S1,0.37021088758623444,1.0,0.427009464990866,False
0,0.6595204268457374,-0.8457506050160524,S1,0.2982999547114011,1.0,0.427009464990866,False
0,0.8246691101946808,-0.6125633455095791,S1,0.33420600274835627,0.986887277823553,0.427009464990866,False
0,0.7447398907977452,-0.6493382203893616,S1,0.32020858353218484,0.980302583177471,0.427009464990866,False
0,0.7103338988062247,-0.7388217529122114,S1,0.35266291086012225,0.9826695372181927,0.427009464990866,False
0,0.6745858685213275,-0.796674770056772,S1,0.3150908452571206,0.9887320880245749,0.427009464990866,False
0,1.0,0.7995900930444546,S3,2.035894514506372,1.0,0.427009464990866,False
0,0.9871669992482054,0.8128857663106183,S1,2.0189375079505565,1.0,2.035894514506372,False
0,0.9744218661860606,0.7985736546266397,S1,2.0132174393791495,1.0,2.035894514506372,False
0,1.0,0.8303477855020491,S1,2.0228844244078323,1.0,2.035894514506372,False
0,1.0,0.7784998913365098,S1,2.0432042467613685,1.0,2.035894514506372,False
0,1.0,0.8498818726748272,S1,2.013174663127393,1.0,2.0432042467613685,False
0,0.9683239386883244,0.8365094363061716,S1,1.9821208988158845,1.0,2.0432042467613685,False
0,0.968782805911848,0.7726249527669717,S1,2.0206073423791446,1.0,2.0432042467613685,False
0,0.9454440773145004,0.823581043651221,S1,1.9566970863800772,1.0,2.0432042467613685,False
0,0.975999297402395,0.8667335843873243,S1,1.9711791154335645,1.0,2.0432042467613685,False
0,1.0,0.8792583970174077,S1,1.9960886310064718,1.0,2.0432042467613685,False
0,0.9521022728474409,0.870905482435001,S1,1.925535441409822,1.0,2.0432042467613685,False
0,0.9230790254468813,0.8246691101946808,S1,1.9134168340070112,1.0,2.0432042467613685,False
0,1.0,0.754077705776572,S1,2.0501142148661704,1.0,2.0432042467613685,False
0,0.9243701001901652,0.7961451409790643,S1,1.943801794051243,1.0,2.0501142148661704,False
0,0.9831076540038666,0.7361038102804652,S1,2.045778098290739,1.0,2.0501142148661704,False
0,0.9028762998271855,0.7913419564747814,S1,1.9058261727162102,1.0,2.0501142148661704,False
0,0.9774688913037741,0.8986881572649232,S1,1.947182801983721,1.0,2.0501142148661704,False
0,0.9214727117038335,0.86126859356466,S1,1.867807615749026,1.0,2.0501142148661704,False
0,0.9446897122047988,0.7527980276038578,S1,2.005598851272,1.0,2.0501142148661704,False
0,0.9028479470353032,0.8725851156338496,S1,1.8012665663240368,0.9788587023031271,2.0501142148661704,False
0,0.8878044708350219,0.8246691101946808,S1,1.8270765709572565,0.9899167675286592,2.0501142148661704,False
0,1.0,0.722173219172553,S1,2.0572856485602244,1.0,2.0501142148661704,False
0,0.8879657846515456,0.7744850665635861,S1,1.8913458901314362,1.0,2.0572856485602244,False
0,0.9489223411678533,0.908544837440916,S1,1.8771967569988346,1.0,2.0572856485602244,False
0,1.0,0.9113380365669691,S1,1.9737934532438801,1.0,2.0572856485602244,False
0,1.0,0.931740324578513,S1,1.9575867313271962,1.0,2.0572856485602244,False
0,0.8935968455039833,0.7498596789466834,S1,1.9293774215069672,1.0,2.0572856485602244,False
0,1.0,0.9516132023283941,S1,1.940081142144877,1.0,2.0572856485602244,False
0,0.9723735354556706,0.9522075268649457,S1,1.8811145608952249,1.0,2.0572856485602244,False
0,1.0,0.9737415628067752,S1,1.9184960565388969,1.0,2.0572856485602244,False
0,0.9388281594946968,0.7239985579627755,S1,2.0149247233064327,1.0,2.0572856485602244,False
0,0.9549378795798746,0.964704115341807,S1,1.819029778286397,0.986532840071145,2.0572856485602244,False
0,0.9018247706447999,0.7227823500455923,S1,1.9676134935639105,1.0,2.0572856485602244,False
0,0.8666560570209857,0.7585459604256016,S1,1.8589551588062447,1.0,2.0572856485602244,False
0,1.0,0.7002538444904751,S1,2.061254524086953,1.0,2.0572856485602244,False
0,0.9056973676720467,0.9000143718226781,S1,1.767463820910827,0.9644008574054017,2.061254524086953,False
0,0.8640359693685001,0.8246691101946808,S1,1.754308715818928,0.9587700586952612,2.061254524086953,False
0,1.0,0.6785471708972425,S1,2.0645341054612394,1.0,2.061254524086953,False
0,1.0,0.9958576413580815,S1,1.8946245770007932,1.0,2.0645341054612394,False
0,0.8703210390673469,0.7228194016376145,S1,1.9094030270328883,1.0,2.0645341054612394,False
0,0.9249593960614875,0.9450054752815027,S1,1.7569403927231662,0.9599036047605406,2.0645341054612394,False
0,1.0,0.6583570976424833,S1,2.0670280881067526,1.0,2.0645341054612394,False
0,0.9719058065129429,1.0,S1,1.8171003149117715,0.9857124668500735,2.0670280881067526,False
0,1.0,0.6392140528301724,S1,2.0689732365452222,1.0,2.0670280881067526,False
0,0.9676294384325562,0.6817532318279795,S1,2.051934602395976,1.0,2.0689732365452222,False
0,0.9442147642816371,1.0,S1,1.7290063712755943,0.9479404880691468,2.0689732365452222,False
0,0.8536188797476922,0.8457611918779531,S1,1.679799440194405,0.9268355161559766,2.0689732365452222,False
0,0.8689921061288755,0.8814741348958535,S1,1.6703515711447712,0.9227357944120017,2.0689732365452222,False
0,0.8476408764253698,0.7693704634788814,S1,1.790207535687957,0.9740733749532141,2.0689732365452222,False
0,0.8335011311674049,0.7493629616650268,S1,1.7772744187002578,0.9685482491947888,2.0689732365452222,False
0,1.0,0.6180497171648587,S1,2.0707409654280164,1.0,2.0689732365452222,False
0,0.8246691101946808,0.7822476150686957,S1,1.690265472919908,0.9313752029734883,2.0707409654280164,False
0,0.9033406418782282,0.9531012225447915,S1,1.6647604089712231,0.9202970437386592,2.0707409654280164,False
0,0.8923070269448858,0.6967762660393096,S1,1.972950154667621,1.0,2.0707409654280164,False
0,0.8246691101946808,0.7272942909425872,S1,1.7841522845635531,0.9714548041801656,2.0707409654280164,False
0,0.9243620955909237,0.6761511883468967,S1,2.0241037113237494,1.0,2.0707409654280164,False
0,0.8278250662111766,0.7045094974036366,S1,1.8271772971136562,0.9898414521551441,2.0707409654280164,False
0,0.9803360195534174,0.6082995656795604,S1,2.06813898274644,1.0,2.0707409654280164,False
0,0.855495376450649,0.6841737276894636,S1,1.918752792309832,1.0,2.0707409654280164,False
0,0.8246691101946808,0.6769441094415161,S1,1.8557652122410924,1.0,2.0707409654280164,False
0,0.3333333333333333,-0.19957840754064254,S3,1.676647145863693,0.9323904662309822,2.0707409654280164,False
0,0.3376738005977374,-0.18272888124299486,S1,1.66163230528329,0.9262803645298656,2.0707409654280164,False
0,0.3333333333333333,-0.21888471367754242,S1,1.711385999446417,0.9457110648827394,2.0707409654280164,False
0,0.3419510966786769,-0.2363490374341202,S1,1.7692249375968663,0.966948192891564,2.0707409654280164,False
0,0.3333333333333333,-0.25279712905240087,S1,1.7673253557771549,0.9664953465643413,2.0707409654280164,False
0,0.3333333333333333,-0.2734158298382445,S1,1.7982528953763326,0.9776327909371721,2.0707409654280164,False
0,0.35949064956260884,-0.21752404086328792,S1,1.795036996910383,0.976018718917669,2.0707409654280164,False
