,q,kappa,r,a_rho,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,0.1,-1.0,0.0,init,-5.5177452204098865,0.4779176386101408,-5.5177452204098865,False
0,0.8333333333333334,0.5,-0.9,1.0,init,-5.914290430413622,0.13756824208987484,-5.914290430413622,False
0,1.0,0.5,-0.6666666666666666,1.0,init,-4.243063905003302,0.47411518522614526,-4.243063905003302,False
0,0.6591738462653778,0.09777983043855282,-1.0,0.019885043289022908,S1,-5.498575012466125,0.49113093705726896,-5.498575012466125,False
0,0.6629539084631813,0.12868941438950682,-1.0,0.011936493984769805,S1,-5.631294994696927,0.4753334894838739,-5.631294994696927,False
0,0.6572805850007288,0.08484499006753121,-0.9876472112987554,0.03360945355163444,S1,-5.2621130717017435,0.5035447449684936,-5.2621130717017435,False
0,0.6720904473362357,0.06582374924740686,-1.0,0.0,S1,-4.655683942355566,0.6042195536325078,-4.655683942355566,False
0,0.6847480089581658,0.06416024496126549,-1.0,0.0,S1,-4.4985574081006625,0.5900421569689387,-4.4985574081006625,False
0,0.6863514826744709,0.0,-1.0,0.007854417643260413,S1,-2.8398678120656378,0.8811391107488619,-2.8398678120656378,False
0,0.7167478716637745,0.0,-1.0,0.0,S1,-2.858169804286897,0.8825565321779227,-2.858169804286897,False
0,0.6875535050585473,0.0,-0.955281799062547,0.0,S1,-2.915755821498095,0.8750370973519108,-2.915755821498095,False
0,0.7193803060262004,0.0,-1.0,0.061026412818188325,S1,-2.735340791273884,0.886337009295104,-2.735340791273884,False
0,0.7351489224905999,0.0,-0.9422574207974626,0.0,S1,-2.8715308398141306,0.881164159025839,-2.8715308398141306,False
0,0.6907872442484302,0.0,-0.8874481875062089,0.0,S1,-2.8480321135102673,0.8790955420758797,-2.8480321135102673,False
0,0.7334219177571772,0.0,-1.0,0.12720664610458624,S1,-2.6873805300560885,0.8822124853248885,-2.6873805300560885,False
0,0.7503134144328858,0.0,-0.8960212869666039,0.0,S1,-2.878775000317147,0.8805953230011802,-2.878775000317147,False
0,0.7142147674659887,0.0,-1.0,0.17898980508392737,S1,-2.567963745397446,0.8822507358949535,-2.567963745397446,False
0,0.6947635795548863,0.0,-0.9608354596467182,0.19586358221305705,S1,-2.564317368838103,0.8681122104964318,-2.564317368838103,False
0,0.7632417009802512,0.0,-0.8375017971465404,0.0015365268704666812,S1,-2.8887300792308603,0.8777586806657817,-2.8887300792308603,False
