,q,kappa,r,a_rho,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,0.1,-1.0,0.0,init,-5.5177452204098865,0.4779176386101408,-5.5177452204098865,False
0,0.8333333333333334,0.5,-0.9,1.0,init,-5.914290430413622,0.13756824208987484,-5.914290430413622,False
0,1.0,0.5,-0.6666666666666666,1.0,init,-4.243063905003302,0.47411518522614526,-4.243063905003302,False
0,0.6553162964132788,0.09485559658189674,-1.0,0.0,S1,-5.603134729479364,0.47868324063258993,-5.603134729479364,False
0,0.664254276685237,0.10868956705729238,-0.9775102088112363,0.0,S1,-5.37376081004073,0.4988163427226501,-5.37376081004073,False
0,0.6583759119950648,0.13148383322590623,-0.9828295778761177,0.0033896074652907423,S1,-5.96773575771413,0.41189387792811316,-5.96773575771413,False
0,0.6745491956661718,0.07607062325856981,-0.9952668381237446,0.0187328269147463,S1,-4.7766177847271685,0.5889683943607644,-4.7766177847271685,False
0,0.6546269609409731,0.06825777765137768,-0.9927016770027568,0.03064816198358595,S1,-4.81671033060969,0.5729618810203794,-4.81671033060969,False
0,0.6711664308673881,0.028817240371412645,-1.0,0.0,S1,-3.9113607664524834,0.7215258372149175,-3.9113607664524834,False
0,0.7001551859917573,0.0,-1.0,0.0,S1,-2.879182913897517,0.8811875140995569,-2.879182913897517,False
0,0.7039900218068991,0.0,-0.9446521532335359,0.0,S1,-2.9028891196931896,0.8760873378143268,-2.9028891196931896,False
0,0.7100431339986905,0.0,-1.0,0.05560777298822672,S1,-2.7374627384596244,0.886650766089116,-2.7374627384596244,False
0,0.7393762125118551,0.0,-0.975166137630163,0.0,S1,-2.848582906503402,0.8847138037374209,-2.848582906503402,False
0,0.7692282162441682,0.0,-1.0,0.0,S1,-2.7946467901516874,0.8936575324775218,-2.7946467901516874,False
0,0.7406027077094329,0.0,-1.0,0.1095000411647812,S1,-2.7046118606795604,0.8851897065122873,-2.7046118606795604,False
0,0.7754088273822878,0.0,-1.0,0.13295221959183215,S1,-2.6492777354480315,0.8887738696115838,-2.6492777354480315,False
0,0.7913149413133254,0.031199549383505255,-0.9708765882577424,0.08778273142297677,S1,-3.4004781497986105,0.7609880089847427,-3.4004781497986105,False
0,0.7792752980695917,0.0,-1.0,0.2037448426880879,S1,-2.6322406204703146,0.8897351240666685,-2.6322406204703146,False
0,0.734503581789051,0.0,-0.9818219125527533,0.20191712786511012,S1,-2.628437334673336,0.8809735841136296,-2.628437334673336,False
