,q,kappa,r,a_rho,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,0.1,-1.0,0.0,init,-5.5177452204098865,0.4779176386101408,-5.5177452204098865,False
0,0.8333333333333334,0.5,-0.9,1.0,init,-5.914290430413622,0.13756824208987484,-5.914290430413622,False
0,1.0,0.5,-0.6666666666666666,1.0,init,-4.243063905003302,0.47411518522614526,-4.243063905003302,False
0,0.6572839623674872,0.08658355374871651,-1.0,0.010386587098219682,S1,-5.080058597149024,0.5525681887553862,-5.080058597149024,False
0,0.6541719648923215,0.06692355640733999,-0.9963018741263748,0.027213381662538116,S1,-5.009845887506421,0.5355681497434032,-5.009845887506421,False
0,0.6621179002991255,0.09148126501016265,-0.9742032752803038,0.0,S1,-5.132844677625941,0.5483227560806965,-5.132844677625941,False
0,0.6453656671931141,0.08949397100408635,-1.0,0.0,S1,-5.5093703667051885,0.4914751103468652,-5.5093703667051885,False
0,0.6790643689642326,0.07047845374147964,-0.9813805260849411,0.0,S1,-4.81573531164816,0.5543065757310524,-4.81573531164816,False
0,0.6792169525489445,0.10179365230362324,-0.9989691783428004,0.025421130218468032,S1,-5.16872458415492,0.5403043806250963,-5.16872458415492,False
0,0.6983646121209452,0.08379423003225438,-0.979497201012737,0.0384207047358745,S1,-4.695225202025858,0.5885290424477662,-4.695225202025858,False
0,0.6778370280911332,0.06529723412768915,-0.9775471112176213,0.08026381067409957,S1,-4.480454378703476,0.6068708356502486,-4.480454378703476,False
0,0.7036273321718315,0.06064111604071931,-1.0,0.01850133725618236,S1,-4.331847899394504,0.6543543067813621,-4.331847899394504,False
0,0.7035297473172609,0.11736676532452253,-0.983395740889759,0.06883261350961932,S1,-5.30417071642971,0.5049448696611565,-5.30417071642971,False
0,0.6965239756370434,0.0,-0.9606732492245474,0.035366806732594236,S1,-2.851293982979915,0.8757127803782909,-2.851293982979915,False
0,0.7275649000741549,0.0,-1.0,0.0,S1,-2.849353853840432,0.8852690036344593,-2.849353853840432,False
0,0.7605127448898098,0.0,-1.0,0.0,S1,-2.8051132818705176,0.890351842844451,-2.8051132818705176,False
0,0.7535532540976178,0.0,-0.9366506080131187,0.0,S1,-2.8559377508552646,0.8846638295107097,-2.8559377508552646,False
0,0.6921369154602494,0.0,-0.8977673391344003,0.0,S1,-2.8608065069913073,0.8791539614168487,-2.8608065069913073,False
0,0.7921061092955765,0.0,-1.0,0.0,S1,-2.7644310910423178,0.8955182679827489,-2.7644310910423178,False
