,q,kappa,r,a_rho,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,0.1,-1.0,0.0,init,-5.5177452204098865,0.4779176386101408,-5.5177452204098865,False
0,0.8333333333333334,0.5,-0.9,1.0,init,-5.914290430413622,0.13756824208987484,-5.914290430413622,False
0,1.0,0.5,-0.6666666666666666,1.0,init,-4.243063905003302,0.47411518522614526,-4.243063905003302,False
0,0.663693675954141,0.0875523104906046,-0.9799651191625331,0.0,S1,-5.044726815204528,0.5581925849685583,-5.044726815204528,False
0,0.6736278572439982,0.06982140835779108,-0.9794484502685828,0.0,S1,-4.840180111724111,0.5575067328892798,-4.840180111724111,False
0,0.6558254208763825,0.09136714318708843,-0.9758249649612941,0.022778423002478645,S1,-5.467628194831275,0.47813861965776683,-5.467628194831275,False
0,0.6680529202455624,0.0687268812742136,-1.0,0.025430427836245703,S1,-4.69457506792178,0.5891868319742717,-4.69457506792178,False
0,0.6533210436787121,0.07172042510023242,-1.0,0.0,S1,-4.883538295123131,0.5763643442262364,-4.883538295123131,False
0,0.6795107644567518,0.008896558459169292,-0.9835965433547814,0.009115156092188081,S1,-3.3385839747220962,0.8016285589397466,-3.3385839747220962,False
0,0.6893877673720975,0.0,-0.9308297741579078,0.0,S1,-2.794605000073323,0.8838969827337917,-2.794605000073323,False
0,0.6431689136508679,0.0,-1.0,0.0,S1,-2.8124838166654524,0.8809539780411175,-2.8124838166654524,False
0,0.6797985189580742,0.0,-0.8713596490051956,0.0,S1,-2.8377811763008656,0.8773127702781576,-2.8377811763008656,False
0,0.62412058155519,0.010121373912366229,-0.9528346435699007,0.0329597939784842,S1,-3.454951203623056,0.7719711591891308,-3.454951203623056,False
0,0.6667917856422209,0.0,-0.8895243992053391,0.07201717033409,S1,-2.6279426101408125,0.8682997478872658,-2.6279426101408125,False
0,0.7169227837440151,0.0,-0.925107504422608,0.0,S1,-2.8990067582432593,0.8762511368826708,-2.8990067582432593,False
0,0.6621009037370603,0.0,-0.9028615274420281,0.13857020897936206,S1,-2.6119915927076756,0.859742113884721,-2.6119915927076756,False
0,0.6781032750256379,0.0,-0.808120476248689,0.0,S1,-2.8745664966561506,0.870055476022429,-2.8745664966561506,False
0,0.7021039422786557,0.0,-0.771173296441237,0.0,S1,-2.811871556945185,0.8722976206216135,-2.811871556945185,False
0,0.7299283292111652,0.028089886766198467,-0.8337547600984636,0.018744197752705773,S1,-3.604035392562447,0.7656554636433528,-3.604035392562447,False
