,q,kappa,r,a_rho,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,0.1,-1.0,0.0,init,-5.5177452204098865,0.4779176386101408,-5.5177452204098865,False
0,0.8333333333333334,0.5,-0.9,1.0,init,-5.914290430413622,0.13756824208987484,-5.914290430413622,False
0,1.0,0.5,-0.6666666666666666,1.0,init,-4.243063905003302,0.47411518522614526,-4.243063905003302,False
0,0.6593364115399964,0.11781050984225805,-0.9900477182501026,0.003634503132353,S1,-5.7065517521768,0.4614518287414707,-5.7065517521768,False
0,0.6714248623820029,0.09522198646651978,-1.0,0.024685401184841076,S1,-5.101606678438639,0.5392134326923479,-5.101606678438639,False
0,0.6746642593033272,0.06867969940855595,-0.987168341232733,0.023692280488967057,S1,-4.677756910565156,0.5962211230953935,-4.677756910565156,False
0,0.6765631011145119,0.116019291263557,-0.9893751531389852,0.0,S1,-5.463364556253884,0.5111826898256411,-5.463364556253884,False
0,0.6776437854405238,0.1048721256696474,-0.9968314535345693,0.056174178879980566,S1,-5.327200013998428,0.49258803290599096,-5.327200013998428,False
0,0.6787698598295928,0.12857365073844917,-0.9814240810290262,0.0,S1,-5.516146633817103,0.49652102263349207,-5.516146633817103,False
0,0.653529346169052,0.06831869045073866,-0.9758235228608945,0.009647866500708088,S1,-4.979497814059947,0.5348977213448235,-4.979497814059947,False
0,0.6682989514789106,0.025485246378245785,-1.0,0.0,S1,-3.8122734416571715,0.7268599659279908,-3.8122734416571715,False
0,0.6947904160917611,0.0,-0.985624932287279,0.0,S1,-2.8020591140409903,0.8759876532205535,-2.8020591140409903,False
0,0.7266640642933355,0.0,-1.0,0.0,S1,-2.8454349887301915,0.8839104295044286,-2.8454349887301915,False
0,0.7176883667874827,0.0,-0.9353086062291324,0.0,S1,-2.8951629287731264,0.878604497693344,-2.8951629287731264,False
0,0.7135996221908406,0.0,-1.0,0.07807902076964296,S1,-2.645792113551394,0.886534384862473,-2.645792113551394,False
0,0.7492018492426323,0.0,-0.9346375143892247,0.043412514497239096,S1,-2.8345263782182077,0.8889707328681674,-2.8345263782182077,False
0,0.7656397694478402,0.0,-1.0,0.0,S1,-2.8037555156476515,0.8922022655250574,-2.8037555156476515,False
0,0.7393182628722266,0.011893259262768085,-0.9911966503803699,0.13934955171580923,S1,-2.975365631549475,0.8185557348683209,-2.975365631549475,False
0,0.7335137476355121,0.0,-0.8694863896753513,0.0,S1,-2.8812806584307142,0.8801072073325714,-2.8812806584307142,False
