,q,r,criterion,fval,gval,fmax,Boundary
0,0.6666666666666666,-1.0,init,0.3176632946750242,1.0,0.3176632946750242,False
0,0.8333333333333334,-0.9,init,0.3840498126472231,1.0,0.3176632946750242,False
0,1.0,-0.6666666666666666,init,0.4249372166050127,1.0,0.3840498126472231,False
0,0.6498462113828003,-1.0,S1,0.3130960347427527,0.9931949432921392,0.4249372166050127,False
0,0.8210293987144065,-0.8894391514222092,S1,0.36042985146087936,1.0,0.4249372166050127,False
0,0.6677354053324018,-0.9823266221086612,S1,0.3308899721799378,0.9943564635662421,0.4249372166050127,False
0,0.8030442354522471,-0.8881044400131342,S1,0.39019836196817875,1.0,0.4249372166050127,False
0,0.6896580682048874,-0.9836611326387543,S1,0.3060471519387942,0.9996048527749145,0.4249372166050127,False
0,0.8310575203592043,-0.9160489919561915,S1,0.3733434361793321,1.0,0.4249372166050127,False
0,0.6947471734563866,-0.9636920087746301,S1,0.3412463501101799,0.9980422311262912,0.4249372166050127,False
0,0.7021308604483147,-1.0,S1,0.3239819996602987,1.0,0.4249372166050127,False
0,0.8039632614675832,-0.916969773397713,S1,0.35490828296717725,1.0,0.4249372166050127,False
0,0.7956805347790987,-0.9368688146990605,S1,0.3669571161711551,1.0,0.4249372166050127,False
0,0.8241569993072857,-0.9428173637655862,S1,0.37990470698375123,1.0,0.4249372166050127,False
0,0.7235009715542043,-0.9673108816512638,S1,0.3398118757304879,1.0,0.4249372166050127,False
0,0.8529046984803773,-0.9073196396472482,S1,0.36969200096180166,1.0,0.4249372166050127,False
0,0.7283423971228644,-1.0,S1,0.36215149011440484,1.0,0.4249372166050127,False
0,0.7522023945031864,-0.9451498765164141,S1,0.34844427404177786,1.0,0.4249372166050127,False
0,0.7585244626540042,-0.9819794858689911,S1,0.3358405266715309,1.0,0.4249372166050127,False
0,0.7595712255166396,-0.9166956704294504,S1,0.34643758424523213,1.0,0.4249372166050127,False
0,0.7600751114147211,-0.892491333186654,S1,0.3776767734422767,1.0,0.4249372166050127,False
0,0.7090509492933943,-0.9366052830340809,S1,0.36925432871344555,0.9953855743808393,0.4249372166050127,False
0,0.7701865960807639,-1.0,S1,0.3388024726242805,1.0,0.4249372166050127,False
0,0.8237653832488422,-0.8696697059655769,S1,0.35340231734094824,1.0,0.4249372166050127,False
0,0.7878633644728525,-0.8637200322307073,S1,0.3472826394897404,1.0,0.4249372166050127,False
0,0.806786794003389,-0.9737348845561056,S1,0.3689211351014675,1.0,0.4249372166050127,False
0,0.6749350674709205,-0.949036207318642,S1,0.3123682644180158,0.9850926981707865,0.4249372166050127,False
0,0.8020005326744326,-1.0,S1,0.3650884507478362,1.0,0.4249372166050127,False
0,0.8465472790818596,-0.9480300044984017,S1,0.35477513416008505,1.0,0.4249372166050127,False
0,0.7755577347760754,-0.8488267147235092,S1,0.3489504711060742,0.9976147592510023,0.4249372166050127,False
0,0.7138549751891545,-0.9106021123317664,S1,0.33823404052347456,0.988186748917522,0.4249372166050127,False
0,0.8246691101946808,-1.0,S1,0.37645474576386917,1.0,0.4249372166050127,False
0,0.8463017026309763,-1.0,S1,0.39956154416006445,1.0,0.4249372166050127,False
0,0.8358930325603442,-0.8526863002021063,S1,0.3634445783462463,1.0,0.4249372166050127,False
0,0.7961680697820702,-0.8331215338239715,S1,0.3674592956853648,1.0,0.4249372166050127,False
0,0.8268645220593094,-0.8246691101946808,S1,0.36911918248217207,1.0,0.4249372166050127,False
0,0.8656270582632201,-0.9964444641233566,S1,0.3859860679946742,1.0,0.4249372166050127,False
0,0.8698005206545233,-0.8936515193766493,S1,0.3738811789560897,1.0,0.4249372166050127,False
0,0.8507364655607372,-0.8246691101946808,S1,0.3685419184115797,1.0,0.4249372166050127,False
0,0.6816648834183776,-0.9173483676033636,S1,0.31322794514925806,1.0,0.4249372166050127,False
0,0.9834176526674356,-0.6666194704193456,S1,0.37435717174145133,1.0,0.4249372166050127,False
0,0.8724715250027464,-0.830844023635621,S1,0.38539330903571023,1.0,0.4249372166050127,False
0,1.0,-0.6838987025659364,S1,0.35913429405280334,1.0,0.4249372166050127,False
0,0.6915665828459967,-0.8924538534231348,S1,0.32492891468419477,1.0,0.4249372166050127,False
0,0.8739475232048142,-0.9518642334063883,S1,0.35808251513243117,1.0,0.4249372166050127,False
0,0.752990969010507,-0.8465671767762004,S1,0.363105319030738,1.0,0.4249372166050127,False
0,0.8130344818247042,-0.8061483139815058,S1,0.3578663017923188,1.0,0.4249372166050127,False
0,0.8885670566290343,-0.9847933590678766,S1,0.37723202184281557,1.0,0.4249372166050127,False
0,0.8907867064303305,-0.8246691101946808,S1,0.38812949115847195,1.0,0.4249372166050127,False
0,0.7536785251875131,-0.8246691101946808,S1,0.3577023863608911,1.0,0.4249372166050127,False
0,0.8897599664644957,-0.9108840236046369,S1,0.38694645882097434,1.0,0.4249372166050127,False
0,0.8585967135100112,-0.8006452975799094,S1,0.37071354798350487,1.0,0.4249372166050127,False
0,0.7183291846825989,-0.860078116142748,S1,0.32899371077979256,1.0,0.4249372166050127,False
0,0.8766670253369955,-0.7863801691537782,S1,0.3763753561699211,1.0,0.4249372166050127,False
0,0.9064140638554308,-0.9884541637276307,S1,0.3762236018973749,1.0,0.4249372166050127,False
0,1.0,-0.7030628291501433,S1,0.3794988527000791,1.0,0.4249372166050127,False
0,0.9111049153811992,-0.8246691101946808,S1,0.37150311113962725,1.0,0.4249372166050127,False
0,1.0,-0.7225287583339071,S1,0.4217495803678187,1.0,0.4249372166050127,False
0,0.6493382203893616,-0.9550972449096685,S1,0.32773476073811825,1.0,0.4249372166050127,False
0,0.9319166945377526,-0.8246691101946808,S1,0.3977692277160545,1.0,0.4249372166050127,False
0,0.8977107783271496,-0.8711127649964483,S1,0.3959385513540632,1.0,0.4249372166050127,False
0,0.9158045369905675,-0.7922325057312599,S1,0.3770285100498613,1.0,0.4249372166050127,False
0,1.0,-0.7426756800128778,S1,0.3563615129663776,1.0,0.4249372166050127,False
0,0.3333333333333333,1.0,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.3333333333333333,0.04424305485311457,S3,2.357142857142857,1.0,0.4249372166050127,True
0,1.0,0.5219360804240472,S3,0.4265319906068539,0.9934212765455152,0.4249372166050127,True
0,0.8381840913117619,1.0,S3,2.357142857142857,1.0,0.4249372166050127,True
0,1.0,-0.06290599900886784,S3,0.30189054372798474,0.9479747886826744,0.4249372166050127,True
0,0.3333333333333333,-0.48376506893617166,S3,0.4595679308996641,1.0,0.4249372166050127,True
0,0.46721858156149293,0.5270123725426532,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.7155915517326932,-0.4246544839208448,S3,0.37992141850098077,0.8160949553804874,0.4249372166050127,True
0,0.7306667645436474,0.253554174236867,S3,0.4565891894577515,1.0,0.4249372166050127,True
0,0.3333333333333333,-0.8258514072362951,S3,0.3796238054270682,0.3805020268619076,0.4249372166050127,True
0,0.6058762434162487,-0.10896947258569556,S3,0.4673796594854875,1.0,0.4249372166050127,True
0,0.7438057286523859,0.6865235842516776,S3,2.357142857142857,1.0,0.4249372166050127,True
0,1.0,-0.35817743375352884,S3,0.374853516516225,1.0,0.4249372166050127,True
0,0.3333333333333333,-0.21991722528263746,S3,0.5056700703296021,0.9463884233361936,0.4249372166050127,True
0,1.0,0.21174729634286193,S3,0.34885015448055745,0.40465025865607684,0.4249372166050127,True
0,0.6697813525326732,-0.888706433989964,S1,0.3397103899758431,0.9717017766860871,0.4249372166050127,False
0,0.9727298453114885,-0.7014360581900998,S1,0.3867828650772271,1.0,0.4249372166050127,False
0,0.9090620803061499,-0.9511708167803017,S1,0.38325361319169504,1.0,0.4249372166050127,False
0,1.0,-0.764298647762873,S1,0.3926958766008673,1.0,0.4249372166050127,False
0,0.9366841899781531,-0.77285255775285,S1,0.3709182001931087,1.0,0.4249372166050127,False
0,0.9526554816026078,-0.7281624805126672,S1,0.36268228274948916,1.0,0.4249372166050127,False
0,0.9621837259098387,-0.7987828131487924,S1,0.38120278848791295,1.0,0.4249372166050127,False
0,0.9938372898636196,-0.795198324880996,S1,0.38772620325452445,1.0,0.4249372166050127,False
0,0.9293382737365713,-0.9606894107343642,S1,0.387110644747001,1.0,0.4249372166050127,False
0,0.8346003543166669,-0.7817563806950685,S1,0.3511751870796585,1.0,0.4249372166050127,False
0,0.8734073120245758,-0.763252490366148,S1,0.37089932475329596,1.0,0.4249372166050127,False
0,0.9272115302374955,-0.8687070653560125,S1,0.36794302931585127,1.0,0.4249372166050127,False
0,0.9762247459650595,-0.8246691101946808,S1,0.42413344716059614,1.0,0.4249372166050127,False
0,0.9132558219533299,-0.7449707880785575,S1,0.377046061189271,1.0,0.4249372166050127,False
0,0.9542869952791518,-0.8671189263420567,S1,0.3593910914231057,1.0,0.4249372166050127,False
0,0.708110487590111,-0.8404488902771596,S1,0.3096333530621105,0.9994900087540485,0.4249372166050127,False
0,0.6493382203893616,-0.9090126091318764,S1,0.33939534839541713,0.8952555644734332,0.4249372166050127,False
0,0.8133633480495186,-0.7720737405612379,S1,0.3547629648859284,1.0,0.4249372166050127,False
0,0.7531379982290944,-0.8020000833831595,S1,0.3525041849226065,1.0,0.4249372166050127,False
0,0.9346208473084501,-0.9062591769075601,S1,0.3901108986750802,1.0,0.4249372166050127,False
0,1.0,0.7888682333363527,S3,0.44482826195435765,1.0,0.4249372166050127,True
0,0.3333333333333333,0.30291003619472523,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.3333333333333333,0.7435831144517986,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.5803423993115149,0.911076355722551,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.505843221711835,-0.6570319159222671,S3,0.3288817313522933,0.3359632352321126,0.4249372166050127,True
0,0.6872990520221074,0.4837933447164925,S3,0.45300172469347233,0.9493592111646459,0.4249372166050127,True
0,0.5475292134101659,0.1118042293099123,S3,0.4849289252166068,1.0,0.4249372166050127,True
0,0.8239775761268211,-0.22688464308027267,S3,0.38066040567956183,0.5093111853425194,0.4249372166050127,True
0,0.4320180692085509,-1.0,S3,0.3063381764941709,0.9637872230334423,0.4249372166050127,True
0,0.8181253588660131,0.052905217458655285,S3,0.3777371849919497,1.0,0.4249372166050127,True
0,1.0,0.9564263326414142,S3,0.47786789981505345,1.0,0.4249372166050127,True
0,0.5371684138216251,0.3517532484020438,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.5149547312202334,-0.2712043702539392,S3,0.44811616198224224,0.9870615916908602,0.4249372166050127,True
0,0.5455143180439368,0.7171366047433334,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.7201423989068041,-0.8090882466044791,S1,0.315336276275689,1.0,0.4249372166050127,False
0,0.9596637980111729,-0.6646193233349786,S1,0.3712486062919248,1.0,0.4249372166050127,False
0,0.7922169003551239,-0.7632106698169492,S1,0.34125883361770365,1.0,0.4249372166050127,False
0,0.9218030397028023,-0.7134998873619562,S1,0.3752758566446876,1.0,0.4249372166050127,False
0,0.949249085276516,-0.9422977444988812,S1,0.38738776415375703,1.0,0.4249372166050127,False
0,1.0,-0.8277764549690736,S1,0.38970835885997435,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.748795835472287,S1,0.36632544253488875,1.0,0.4249372166050127,False
0,0.8914291883736403,-0.7179389427780731,S1,0.36085309207736344,1.0,0.4249372166050127,False
0,0.9558891539044803,-0.9649602444604704,S1,0.4011130225350438,1.0,0.4249372166050127,False
0,0.8399007068686097,-0.7268981737840976,S1,0.376140959833198,1.0,0.4249372166050127,False
0,0.966752520733174,-0.89542995593149,S1,0.3875600999182509,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.7138904941729594,S1,0.3609254197187788,0.9860400376138279,0.4249372166050127,False
0,0.7956892608893311,-0.7272747775834957,S1,0.36223236869634173,0.9988769059550493,0.4249372166050127,False
0,0.6738238960278566,-0.8605755826716557,S1,0.32326168470647687,0.9957290388422397,0.4249372166050127,False
0,0.7024292320290783,-0.7992308793210805,S1,0.34269602307496677,1.0,0.4249372166050127,False
0,0.9292756658622338,-0.681171764697434,S1,0.3773111726164009,1.0,0.4249372166050127,False
0,0.6750419887325666,-0.8246691101946808,S1,0.33681252769639747,0.9995479108213131,0.4249372166050127,False
0,0.7009930322440103,-0.7803610799373659,S1,0.3421088486581268,1.0,0.4249372166050127,False
0,0.7346894344818252,-0.7691368335871344,S1,0.32511888660229,1.0,0.4249372166050127,False
0,1.0,-0.8567688931103801,S1,0.38860360204458605,1.0,0.4249372166050127,False
0,0.8973988489312728,0.3788976470890515,S3,0.44645971276915264,1.0,0.4249372166050127,True
0,0.527316371534649,-0.4910903635919523,S3,0.335210278788007,0.27517113789165676,0.4249372166050127,True
0,0.3333333333333333,-0.6543469976372454,S3,0.30743074650745483,0.26514953837974886,0.4249372166050127,True
0,0.77344564648083,0.8503582564574221,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.3333333333333333,0.4551900875019412,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.8403200841331955,0.5325818969874676,S3,0.41520999614498244,0.9479041847363315,0.4249372166050127,True
0,0.41776258575751024,-0.09407787872155193,S3,0.4999084864274452,0.9728478369658558,0.4249372166050127,True
0,0.4348352456331735,0.8524187862265797,S3,2.357142857142857,1.0,0.4249372166050127,True
0,0.8669799770228709,-0.5080913881212734,S3,0.335194503565286,1.0,0.4249372166050127,False
0,0.8626730454439601,-0.5250916886545808,S1,0.3382349671022498,0.9849169373578083,0.4249372166050127,False
0,0.8657500233596542,-0.49067322189978074,S1,0.3303028521761433,0.9666135942741522,0.4249372166050127,False
0,0.8830943596514069,-0.49934142306690865,S1,0.34229669738494767,0.9864007102857154,0.4249372166050127,False
0,0.843205197949713,-0.5149641042778476,S1,0.3448285734136187,0.9577157036454765,0.4249372166050127,False
0,1.0,-0.6459934951073569,S1,0.36891558368316746,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.693625274647276,S1,0.32724504369159063,1.0,0.4249372166050127,False
0,1.0,-0.8886478776773088,S1,0.3809584463697196,1.0,0.4249372166050127,False
0,0.8507939520862373,-0.6849340589950319,S1,0.3663342177204602,0.899840055820025,0.4249372166050127,False
0,0.8536210382808181,-0.5441987376518306,S1,0.34199839229581813,0.9821388300517797,0.4249372166050127,False
0,0.7486763283315025,-0.7442942154499398,S1,0.349391061937619,1.0,0.4249372166050127,False
0,0.9133637036290227,-0.6628360429897227,S1,0.37217870714674667,1.0,0.4249372166050127,False
0,0.8133006663897022,-0.6768241463176513,S1,0.334810713762653,1.0,0.4249372166050127,False
0,1.0,-0.6262837639205958,S1,0.36555475571771306,1.0,0.4249372166050127,False
0,0.7865370798663599,-0.6896308215096416,S1,0.3304290132525244,1.0,0.4249372166050127,False
0,0.9511025214719226,-0.6378217996371935,S1,0.37598121949525865,1.0,0.4249372166050127,False
0,0.6889541616321793,-0.765002061334472,S1,0.3411200825409811,0.9873225014599246,0.4249372166050127,False
0,0.9978222038881973,-0.9175195817975138,S1,0.36543977240018616,1.0,0.4249372166050127,False
0,0.8857268250269834,-0.5389842665648559,S1,0.3357757963384175,0.990291182280356,0.4249372166050127,False
0,1.0,-0.6064159127426189,S1,0.372790410960308,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.6559832371211318,S1,0.3290392940677991,1.0,0.4249372166050127,False
0,0.8845222005911049,-0.5641470967178126,S1,0.33257057072387675,0.9967368018548398,0.4249372166050127,False
0,0.7171352964252324,-0.7386101720655633,S1,0.31991627829444724,0.9943365664946548,0.4249372166050127,False
0,1.0,-0.9425426279431985,S1,0.38791458827303493,0.894888571822755,0.4249372166050127,False
0,0.8794760063476799,-0.5903032153194283,S1,0.3410934763604707,1.0,0.4249372166050127,False
0,0.9277272418765694,-0.6143063055028458,S1,0.37618723452799624,1.0,0.4249372166050127,False
0,0.7937950394815694,-0.655608501998037,S1,0.3319942505249743,0.996685463426164,0.4249372166050127,False
0,0.9546318979129389,-0.5975466004912451,S1,0.3713048586004983,1.0,0.4249372166050127,False
0,0.9417925734740036,-0.573897034129998,S1,0.3467861149607977,1.0,0.4249372166050127,False
0,0.9208912944942682,-0.5424540091572875,S1,0.33536830767708,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.6284633840039676,S1,0.3502647564461891,1.0,0.4249372166050127,False
0,0.7584799334331388,-0.6956120846130858,S1,0.339865769282758,0.988315497747521,0.4249372166050127,False
0,0.8095660450904751,-0.6120242197673991,S1,0.33821845538364587,0.9877603335567744,0.4249372166050127,False
0,0.9723280192978789,-0.5719090718574951,S1,0.37402768216699367,1.0,0.4249372166050127,False
0,0.7790881189687158,-0.6341205131736583,S1,0.3369623745502132,0.9838608176983539,0.4249372166050127,False
0,0.8801041915194672,-0.6320159609861266,S1,0.34892496785288396,1.0,0.4249372166050127,False
0,0.7587538888777678,-0.6449407863406224,S1,0.32121105142481143,0.9821416886574406,0.4249372166050127,False
0,0.738259660028918,-0.6677801227906256,S1,0.3255573841456578,0.9813336117688449,0.4249372166050127,False
0,0.8304493568633463,-0.5747050841991493,S1,0.34952379809361495,0.9838742328140774,0.4249372166050127,False
0,0.9023464689446447,-0.49184105542002227,S1,0.33140961312897094,0.9854183666422435,0.4249372166050127,False
0,1.0,-0.5771394422732883,S1,0.37006319187121833,1.0,0.4249372166050127,False
0,0.6835574770750494,-0.7411085340018815,S1,0.30150167671824535,0.9805956337805937,0.4249372166050127,False
0,1.0,-0.5555311419274516,S1,0.37620358646174773,1.0,0.4249372166050127,False
0,0.6650162217947035,-0.7939948203767565,S1,0.29335740367868096,0.9898014164209404,0.4249372166050127,False
0,0.9372147459984643,-0.5188315440474927,S1,0.3447692801378085,1.0,0.4249372166050127,False
0,0.8246691101946808,-0.515608254777271,S1,0.3604438158202125,0.9871050064076753,0.4249372166050127,False
0,1.0,-0.5358003056680849,S1,0.3796839285694785,0.8853623302382744,0.4249372166050127,False
0,0.7107376625971764,-0.7061812433556085,S1,0.31555962739005,0.9793715859345957,0.4249372166050127,False
0,0.6474259840483868,-0.7876291516235907,S1,0.2882368234601663,0.9786701124011101,0.4249372166050127,False
0,0.8126722820357855,-0.5568555045969947,S1,0.3170415426193047,0.9630758951682087,0.4249372166050127,False
0,0.6493382203893616,-0.837750817192733,S1,0.3066711006170052,1.0,0.4249372166050127,False
0,0.6286397501871299,-0.7877964697311937,S1,0.2758697966416328,0.9729267243396785,0.4249372166050127,False
0,0.9216809141194593,-0.48342455666601974,S1,0.3509311765833142,0.9927397874707233,0.4249372166050127,False
0,0.8246691101946808,-0.4932162789657844,S1,0.3594915643765497,0.9340979215021057,0.4249372166050127,False
0,0.70602044899375,-0.6793301789718791,S1,0.30233036162549765,0.9563802605230742,0.4249372166050127,False
0,0.9246931806037676,-1.0,S1,0.3719254410827813,1.0,0.4249372166050127,False
0,0.8447772437333774,-0.4737703190200238,S1,0.3747070913944601,0.9776665037142449,0.4249372166050127,False
0,0.943950133605149,-0.4793047570479124,S1,0.3402658742554548,0.9934138367416651,0.4249372166050127,False
0,0.8009240783748317,-0.5212880890563406,S1,0.3559468259895238,0.8936969477236271,0.4249372166050127,False
0,0.6822114577986074,-0.7004147059931245,S1,0.3245659425139558,0.5919819982583675,0.4249372166050127,False
0,0.767253147331277,-0.6133412542924099,S1,0.3281694336448549,0.9702408154431399,0.4249372166050127,False
0,0.6633402250264802,-0.2758712346424361,S3,0.3343512805267528,0.28294235222883923,0.4249372166050127,True
0,1.0,-0.21048091431502236,S3,0.3671699974513958,0.6546434232094991,0.4249372166050127,False
0,1.0,-0.2194479671586854,S1,0.36503316038352857,0.6530494202975087,0.4249372166050127,False
